InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536389,22192,BLUE DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431,Australia
536389,22191,IVORY DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431,Australia
536389,22195,LARGE HEART MEASURING SPOONS,24,12/1/2010 10:03,1.65,12431,Australia
536389,22196,SMALL HEART MEASURING SPOONS,24,12/1/2010 10:03,0.85,12431,Australia
536390,22941,CHRISTMAS LIGHTS 10 REINDEER,2,12/1/2010 10:19,8.5,17511,United Kingdom
536390,22960,JAM MAKING SET WITH JARS,12,12/1/2010 10:19,3.75,17511,United Kingdom
536390,22961,JAM MAKING SET PRINTED,12,12/1/2010 10:19,1.45,17511,United Kingdom
536390,22962,JAM JAR WITH PINK LID,48,12/1/2010 10:19,0.72,17511,United Kingdom
536390,22963,JAM JAR WITH GREEN LID,48,12/1/2010 10:19,0.72,17511,United Kingdom
536390,22968,ROSE COTTAGE KEEPSAKE BOX ,8,12/1/2010 10:19,8.5,17511,United Kingdom
536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,12/1/2010 10:19,0.64,17511,United Kingdom
536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,12/1/2010 10:19,2.55,17511,United Kingdom
536390,20668,DISCO BALL CHRISTMAS DECORATION,288,12/1/2010 10:19,0.1,17511,United Kingdom
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/1/2010 10:19,2.55,17511,United Kingdom
536390,22197,SMALL POPCORN HOLDER,100,12/1/2010 10:19,0.72,17511,United Kingdom
536390,22198,LARGE POPCORN HOLDER ,50,12/1/2010 10:19,1.45,17511,United Kingdom
536390,21533,RETROSPOT LARGE MILK JUG,12,12/1/2010 10:19,4.25,17511,United Kingdom
536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,12/1/2010 10:19,0.64,17511,United Kingdom
536390,21094,SET/6 RED SPOTTY PAPER PLATES,96,12/1/2010 10:19,0.64,17511,United Kingdom
536390,21086,SET/6 RED SPOTTY PAPER CUPS,48,12/1/2010 10:19,0.65,17511,United Kingdom
536390,21786,POLKADOT RAIN HAT ,144,12/1/2010 10:19,0.32,17511,United Kingdom
536390,22654,DELUXE SEWING KIT ,40,12/1/2010 10:19,4.95,17511,United Kingdom
536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,12/1/2010 10:19,4.25,17511,United Kingdom
536390,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,12/1/2010 10:19,3.39,17511,United Kingdom
536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,12/1/2010 10:19,3.75,17511,United Kingdom
536390,22174,PHOTO CUBE,48,12/1/2010 10:19,1.48,17511,United Kingdom
536390,22969,HOMEMADE JAM SCENTED CANDLES,96,12/1/2010 10:19,1.25,17511,United Kingdom
536390,85099B,JUMBO BAG RED RETROSPOT,100,12/1/2010 10:19,1.65,17511,United Kingdom
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,12/1/2010 10:24,1.65,17548,United Kingdom
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,12/1/2010 10:24,3.45,17548,United Kingdom
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,12/1/2010 10:24,1.65,17548,United Kingdom
C536391,22553,PLASTERS IN TIN SKULLS,-24,12/1/2010 10:24,1.65,17548,United Kingdom
536392,22150,3 STRIPEY MICE FELTCRAFT,6,12/1/2010 10:29,1.95,13705,United Kingdom
536392,22619,SET OF 6 SOLDIER SKITTLES,4,12/1/2010 10:29,3.75,13705,United Kingdom
536392,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,21889,WOODEN BOX OF DOMINOES,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,12/1/2010 10:29,165,13705,United Kingdom
536392,22127,PARTY CONES CARNIVAL ASSORTED,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,22128,PARTY CONES CANDY ASSORTED,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,22502,PICNIC BASKET WICKER SMALL,4,12/1/2010 10:29,5.95,13705,United Kingdom
